,nom_commune_postal,code_postal,latitude,longitude,code_departement,score
31413,PAROY,77520,48.4812861292,3.20164565449,77,1
31414,PASSY SUR SEINE,77480,48.4286806122,3.34584614582,77,0
31415,PECY,77970,48.6467079831,3.07507507912,77,1
31416,PENCHARD,77124,48.9907877063,2.85773717283,77,0
31417,PERTHES,77930,48.479730606,2.55038052003,77,0
31418,PEZARCHES,77131,48.7441065539,2.99013605672,77,0
31419,PIERRE LEVEE,77580,48.8973865093,3.03672367575,77,0
31420,LE PIN,77181,48.9144329004,2.62838554691,77,0
31421,LE PLESSIS AUX BOIS,77165,49.0037760261,2.76764045922,77,0
31422,LE PLESSIS FEU AUSSOUX,77540,48.7130840275,3.03898703443,77,0
31423,LE PLESSIS L EVEQUE,77165,49.0072248611,2.79558517777,77,0
31424,LE PLESSIS PLACY,77440,49.0533468836,2.98533936874,77,1
31425,POIGNY,77160,48.5449283297,3.27716740959,77,1
31426,POINCY,77470,48.9734167231,2.92373383139,77,1
31427,POLIGNY,77167,48.2336785458,2.7563432153,77,1
31428,POMMEUSE,77515,48.8178723511,3.00613268677,77,0
31429,POMPONNE,77400,48.8867221487,2.67487662086,77,0
31430,PONTAULT COMBAULT,77340,48.7871411658,2.61407436985,77,0
31431,PONTCARRE,77135,48.796292771,2.70744366503,77,0
31432,PRECY SUR MARNE,77410,48.932278559,2.76825616233,77,0
31433,PRESLES EN BRIE,77220,48.7132293584,2.73724881309,77,0
31434,PRINGY,77310,48.5176600254,2.55002787016,77,1
31435,PROVINS,77160,48.5633093312,3.28756780085,77,0
31436,PUISIEUX,77139,49.0654141426,2.91537283877,77,0
31437,QUIERS,77720,48.6142332217,2.96159846336,77,1
31438,QUINCY VOISINS,77860,48.8993902334,2.87746538082,77,0
31439,RAMPILLON,77370,48.5410434258,3.07288099272,77,0
31440,REAU,77550,48.6073931366,2.62398597049,77,0
31441,REBAIS,77510,48.8579690039,3.23286797694,77,0
31442,RECLOSES,77760,48.3397926462,2.64268589454,77,0
31443,REMAUVILLE,77710,48.2205966192,2.82537192194,77,1
