nom_commune_postal;code_postal;latitude;longitude;code_departement
CORBONOD;1420;45.9659473187;5.78961970355;1
CORLIER;1110;46.0336885573;5.49635755029;1
CORMARANCHE EN BUGEY;1110;45.9442772826;5.60860828487;1
CORMORANCHE SUR SAONE;1290;46.2403530179;4.8276569593;1
CORMOZ;1560;46.4336632942;5.22181275755;1
CORVEISSIAT;1250;46.2505107235;5.47152467919;1
COURMANGOUX;1370;46.3267864521;5.35558241812;1
COURTES;1560;46.4570082032;5.11128546723;1
CRANS;1320;45.9663793103;5.19490390871;1
CRAS SUR REYSSOUZE;1340;46.3130831891;5.17796707174;1
CRESSIN ROCHEFORT;1350;45.7826434885;5.76546256637;1
CROTTET;1290;46.283072336;4.87747971182;1
CROTTET;1750;46.283072336;4.87747971182;1
CROZET;1170;46.2915659686;5.99510417092;1
CRUZILLES LES MEPILLAT;1290;46.2220588715;4.8752193513;1
CULOZ;1350;45.8559966843;5.78398308932;1
CURCIAT DONGALON;1560;46.4885456881;5.16344336837;1
CURTAFOND;1310;46.273150382;5.1020896267;1
CUZIEU;1300;45.8200002803;5.6765554896;1
DAGNEUX;1120;45.8531616918;5.07289166803;1
DIVONNE LES BAINS;1220;46.3756333495;6.1158647611;1
DOMMARTIN;1380;46.33627762;4.99863894;1
DOMPIERRE SUR VEYLE;1240;46.0667883703;5.21665199666;1
DOMPIERRE SUR CHALARONNE;1400;46.1415406621;4.90141714714;1
DOMSURE;1270;46.4244066427;5.29313479651;1
DORTAN;1590;46.3133221173;5.64146584117;1
DOUVRES;1500;45.984297392;5.37106901673;1
DROM;1250;46.2196603059;5.36799994918;1
DRUILLAT;1160;46.067579544;5.29361666429;1
ECHALLON;1130;46.2271364137;5.73330448395;1
ECHENEVEX;1170;46.3160845207;6.01926187996;1
ETREZ;1340;46.3380891758;5.19286414645;1
EVOSGES;1230;45.965147537;5.50283599885;1
FARAMANS;1800;45.9104942091;5.1249258559;1
FAREINS;1480;46.020997974;4.7620080898;1
FARGES;1550;46.166230455;5.90019477201;1
FEILLENS;1570;46.3365833672;4.88507050971;1
FERNEY VOLTAIRE;1210;46.2519789243;6.10826403805;1
FLAXIEU;1350;45.8113298005;5.74459048839;1
FOISSIAT;1340;46.3784759782;5.18483641417;1
FRANCHELEINS;1090;46.0735946256;4.81293575559;1
FRANS;1480;45.9939065077;4.78033196905;1
GARNERANS;1140;46.2136224825;4.82843188743;1
GENOUILLEUX;1090;46.1201611728;4.79288195016;1
BEARD GEOVREISSIAT;1460;46.1896733539;5.55139781353;1
GEOVREISSET;1100;46.2508621615;5.61271973915;1
GERMAGNAT;1250;46.3054983344;5.45012798616;1
GEX;1170;46.3471891747;6.04650555568;1
GIRON;1130;46.2227121191;5.78049809256;1
GORREVOD;1190;46.414943437;4.95120595427;1
GRAND CORENT;1250;46.207387937;5.43318666027;1
GRIEGES;1290;46.2633634407;4.84621318847;1
GRILLY;1220;46.3318810665;6.11366767978;1
GROISSIAT;1100;46.2260039429;5.61095413441;1
GUEREINS;1090;46.106624674;4.78159420118;1
HAUTECOURT ROMANECHE;1250;46.1611241927;5.42944457639;1
HAUTEVILLE LOMPNES;1110;45.9696520061;5.57627261783;1
HOSTIAZ;1110;45.9061631889;5.54077986031;1
HAUT VALROMEY;1260;46.0317412192;5.70267027388;1
ILLIAT;1140;46.1866986838;4.88840344003;1
INJOUX GENISSIAT;1200;46.0497734524;5.75991363273;1
INNIMOND;1680;45.7919647191;5.57389398559;1
IZENAVE;1430;46.0381623415;5.52447901164;1
IZERNORE;1580;46.2179780137;5.56258251719;1
IZIEU;1300;45.6557496407;5.63909140794;1
JASSANS RIOTTIER;1480;45.9777239103;4.75984637871;1
JASSERON;1250;46.2150037064;5.31215372338;1
JAYAT;1340;46.3660828991;5.11429701617;1
JOURNANS;1250;46.1464982407;5.33452833151;1
JOYEUX;1800;45.9499899849;5.10261326872;1
JUJURIEUX;1640;46.0497041467;5.41094771899;1
LABALME;1450;46.0932491295;5.49438685213;1
LAGNIEU;1150;45.8917015798;5.32917518895;1
LAIZ;1290;46.2469919709;4.89933490972;1
LE POIZAT LALLEYRIAT;1130;46.1479592076;5.71829194244;1
LANCRANS;1200;46.1323202721;5.84050985141;1
LANTENAY;1430;46.0544405897;5.54127421165;1
LAPEYROUSE;1330;45.9859131165;4.98196682865;1
LAVOURS;1350;45.8108837933;5.77267317838;1
LEAZ;1200;46.1086518044;5.87649017888;1
LELEX;1410;46.2855010936;5.92927713771;1
LENT;1240;46.1160216305;5.20200684747;1
LESCHEROUX;1560;46.4114892731;5.15107164478;1
LEYMENT;1150;45.9269989549;5.2947657235;1
LEYSSARD;1450;46.1624187428;5.47633297491;1
LHOPITAL;1420;46.0238143134;5.76236736492;1
LHUIS;1680;45.7444141403;5.53602066955;1
LOCHIEU;1260;45.9302479879;5.7413126836;1
LOMPNAS;1680;45.8105943351;5.52320457866;1
LOMPNIEU;1260;45.9690865613;5.65968816497;1
LOYETTES;1360;45.7921564114;5.21770971647;1
LURCY;1090;46.061730034;4.78075207026;1
MAGNIEU;1300;45.7754050255;5.71540945601;1
MAILLAT;1430;46.1201642836;5.52854394238;1
MALAFRETAZ;1340;46.3295545661;5.14386299599;1
MANTENAY MONTLIN;1560;46.4302754511;5.10675899732;1
MANZIAT;1570;46.3643830585;4.90242777155;1
MARBOZ;1851;46.3434312497;5.24374534963;1
MARCHAMP;1680;45.7738495266;5.54985181107;1
MARIGNIEU;1300;45.8010384947;5.71570352924;1
MARLIEUX;1240;46.0549073186;5.0741150816;1
MARSONNAS;1340;46.3409117711;5.06434294764;1
MARTIGNAT;1100;46.2030768095;5.61384033805;1
MASSIEUX;1600;45.9094016817;4.82779660051;1
MASSIGNIEU DE RIVES;1300;45.7571503942;5.7620535823;1
MATAFELON GRANGES;1580;46.2565319445;5.53958933702;1
MEILLONNAS;1370;46.244997627;5.33594738489;1
MERIGNAT;1450;46.0648564341;5.44210660051;1
MESSIMY SUR SAONE;1480;46.0472670758;4.75935643933;1
MEXIMIEUX;1800;45.9060530318;5.20404833653;1
BOHAS MEYRIAT RIGNAT;1250;46.1427060662;5.3780109646;1
MEZERIAT;1660;46.2423102101;5.04725416984;1
MIJOUX;1170;46.3622451724;6.00902631941;1
MIJOUX;1410;46.3622451724;6.00902631941;1
MIONNAY;1390;45.8955939299;4.92416967439;1
MIRIBEL;1700;45.8442099203;4.94106746787;1
MISERIEUX;1600;45.9762325343;4.81028471711;1
MOGNENEINS;1140;46.1446696076;4.820110702;1
MONTAGNAT;1250;46.1686969123;5.27962107938;1
MONTAGNIEU;1470;45.799449019;5.46428608859;1
MONTANGES;1200;46.17325293;5.79006091307;1
